Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,-2,0,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Life Sciences,STAFF-1,1.0,Female,Sales Executive,Single,Yes,Y,0.0,-2.0,0.0,41.0,0.0,1102.0,1.0,Associates Degree,1.0,2.0,94.0,3.0,2.0,4.0,5993.0,19479.0,8.0,11.0,3.0,1.0,80.0,0.0,8.0,1.0,6.0,4.0,0.0,5.0
No,Travel_Frequently,45 - 54,Current Employees,R&D,Life Sciences,STAFF-2,2.0,Male,Research Scientist,Married,No,Y,3.0,-2.0,0.0,49.0,1.0,279.0,8.0,High School,1.0,3.0,61.0,2.0,2.0,2.0,5130.0,24907.0,1.0,23.0,4.0,4.0,80.0,1.0,10.0,3.0,10.0,7.0,1.0,7.0
Yes,Travel_Rarely,35 - 44,Ex-Employees,R&D,Other,STAFF-4,4.0,Male,Laboratory Technician,Single,Yes,Y,3.0,-2.0,0.0,37.0,0.0,1373.0,2.0,Associates Degree,1.0,4.0,92.0,2.0,1.0,3.0,2090.0,2396.0,6.0,15.0,3.0,2.0,80.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-5,5.0,Female,Research Scientist,Married,Yes,Y,3.0,-2.0,0.0,33.0,1.0,1392.0,3.0,Master's Degree,1.0,4.0,56.0,3.0,1.0,3.0,2909.0,23159.0,1.0,11.0,3.0,3.0,80.0,0.0,8.0,3.0,8.0,7.0,3.0,0.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-7,7.0,Male,Laboratory Technician,Married,No,Y,3.0,-2.0,0.0,27.0,1.0,591.0,2.0,High School,1.0,1.0,40.0,3.0,1.0,2.0,3468.0,16632.0,9.0,12.0,3.0,4.0,80.0,1.0,6.0,3.0,2.0,2.0,2.0,2.0
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-8,8.0,Male,Laboratory Technician,Single,No,Y,2.0,-2.0,0.0,32.0,1.0,1005.0,2.0,Associates Degree,1.0,4.0,79.0,3.0,1.0,4.0,3068.0,11864.0,0.0,13.0,3.0,3.0,80.0,0.0,8.0,2.0,7.0,7.0,3.0,6.0
No,Travel_Rarely,Over 55,Current Employees,R&D,Medical,STAFF-10,10.0,Female,Laboratory Technician,Married,Yes,Y,3.0,-2.0,0.0,59.0,1.0,1324.0,3.0,Bachelor's Degree,1.0,3.0,81.0,4.0,1.0,1.0,2670.0,9964.0,4.0,20.0,4.0,1.0,80.0,3.0,12.0,2.0,1.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-11,11.0,Male,Laboratory Technician,Divorced,No,Y,2.0,-2.0,0.0,30.0,1.0,1358.0,24.0,High School,1.0,4.0,67.0,3.0,1.0,3.0,2693.0,13335.0,1.0,22.0,4.0,2.0,80.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-12,12.0,Male,Manufacturing Director,Single,No,Y,2.0,-2.0,0.0,38.0,1.0,216.0,23.0,Bachelor's Degree,1.0,4.0,44.0,2.0,3.0,3.0,9526.0,8787.0,0.0,21.0,4.0,2.0,80.0,0.0,10.0,3.0,9.0,7.0,1.0,8.0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-13,13.0,Male,Healthcare Representative,Married,No,Y,3.0,-2.0,0.0,36.0,1.0,1299.0,27.0,Bachelor's Degree,1.0,3.0,94.0,3.0,2.0,3.0,5237.0,16577.0,6.0,13.0,3.0,2.0,80.0,2.0,17.0,2.0,7.0,7.0,7.0,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-14,14.0,Male,Laboratory Technician,Married,No,Y,5.0,-2.0,0.0,35.0,1.0,809.0,16.0,Bachelor's Degree,1.0,1.0,84.0,4.0,1.0,2.0,2426.0,16479.0,0.0,13.0,3.0,3.0,80.0,1.0,6.0,3.0,5.0,4.0,0.0,3.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-15,15.0,Female,Laboratory Technician,Single,Yes,Y,3.0,-2.0,0.0,29.0,1.0,153.0,15.0,Associates Degree,1.0,4.0,49.0,2.0,2.0,3.0,4193.0,12682.0,0.0,12.0,3.0,4.0,80.0,0.0,10.0,3.0,9.0,5.0,0.0,8.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-16,16.0,Male,Research Scientist,Divorced,No,Y,1.0,-2.0,0.0,31.0,1.0,670.0,26.0,High School,1.0,1.0,31.0,3.0,1.0,3.0,2911.0,15170.0,1.0,17.0,3.0,4.0,80.0,1.0,5.0,2.0,5.0,2.0,4.0,3.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-18,18.0,Male,Laboratory Technician,Divorced,No,Y,2.0,-2.0,0.0,34.0,1.0,1346.0,19.0,Associates Degree,1.0,2.0,93.0,3.0,1.0,4.0,2661.0,8758.0,0.0,11.0,3.0,3.0,80.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Life Sciences,STAFF-19,19.0,Male,Laboratory Technician,Single,Yes,Y,4.0,-2.0,0.0,28.0,0.0,103.0,24.0,Bachelor's Degree,1.0,3.0,50.0,2.0,1.0,3.0,2028.0,12947.0,5.0,14.0,3.0,2.0,80.0,0.0,6.0,3.0,4.0,2.0,0.0,3.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-20,20.0,Female,Manufacturing Director,Divorced,No,Y,1.0,-2.0,0.0,29.0,1.0,1389.0,21.0,Master's Degree,1.0,2.0,51.0,4.0,3.0,1.0,9980.0,10195.0,1.0,11.0,3.0,3.0,80.0,1.0,10.0,3.0,10.0,9.0,8.0,8.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-21,21.0,Male,Research Scientist,Divorced,Yes,Y,5.0,-2.0,0.0,32.0,1.0,334.0,5.0,Associates Degree,1.0,1.0,80.0,4.0,1.0,2.0,3298.0,15053.0,0.0,12.0,3.0,4.0,80.0,2.0,7.0,2.0,6.0,2.0,0.0,5.0
No,Non-Travel,Under 25,Current Employees,R&D,Medical,STAFF-22,22.0,Male,Laboratory Technician,Divorced,Yes,Y,2.0,-2.0,0.0,22.0,1.0,1123.0,16.0,Associates Degree,1.0,4.0,96.0,4.0,1.0,4.0,2935.0,7324.0,1.0,13.0,3.0,2.0,80.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
No,Travel_Rarely,45 - 54,Current Employees,Sales,Life Sciences,STAFF-23,23.0,Female,Manager,Married,No,Y,3.0,-2.0,0.0,53.0,1.0,1219.0,2.0,Master's Degree,1.0,1.0,78.0,2.0,4.0,4.0,15427.0,22021.0,2.0,16.0,3.0,3.0,80.0,0.0,31.0,3.0,25.0,8.0,3.0,7.0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-24,24.0,Male,Research Scientist,Single,Yes,Y,3.0,-2.0,0.0,38.0,1.0,371.0,2.0,Bachelor's Degree,1.0,4.0,45.0,3.0,1.0,4.0,3944.0,4306.0,5.0,11.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,2.0,1.0,2.0
No,Non-Travel,Under 25,Current Employees,R&D,Other,STAFF-26,26.0,Female,Manufacturing Director,Divorced,No,Y,5.0,-2.0,0.0,24.0,1.0,673.0,11.0,Associates Degree,1.0,1.0,96.0,4.0,2.0,3.0,4011.0,8232.0,0.0,18.0,3.0,4.0,80.0,1.0,5.0,2.0,4.0,2.0,1.0,3.0
Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Life Sciences,STAFF-27,27.0,Male,Sales Representative,Single,No,Y,4.0,-2.0,0.0,36.0,0.0,1218.0,9.0,Master's Degree,1.0,3.0,82.0,2.0,1.0,1.0,3407.0,6986.0,7.0,23.0,4.0,2.0,80.0,0.0,10.0,3.0,5.0,3.0,0.0,3.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-28,28.0,Female,Research Director,Single,No,Y,4.0,-2.0,0.0,34.0,1.0,419.0,7.0,Master's Degree,1.0,1.0,53.0,3.0,3.0,2.0,11994.0,21293.0,0.0,11.0,3.0,3.0,80.0,0.0,13.0,3.0,12.0,6.0,2.0,11.0
No,Travel_Rarely,Under 25,Current Employees,R&D,Life Sciences,STAFF-30,30.0,Male,Research Scientist,Single,No,Y,6.0,-2.0,0.0,21.0,1.0,391.0,15.0,Associates Degree,1.0,3.0,96.0,3.0,1.0,4.0,1232.0,19281.0,1.0,14.0,3.0,4.0,80.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,STAFF-31,31.0,Male,Research Scientist,Single,No,Y,2.0,-2.0,0.0,34.0,0.0,699.0,6.0,High School,1.0,2.0,83.0,3.0,1.0,1.0,2960.0,17102.0,2.0,11.0,3.0,3.0,80.0,0.0,8.0,3.0,4.0,2.0,1.0,3.0
No,Travel_Rarely,45 - 54,Current Employees,R&D,Other,STAFF-32,32.0,Female,Manager,Divorced,No,Y,3.0,-2.0,0.0,53.0,1.0,1282.0,5.0,Bachelor's Degree,1.0,3.0,58.0,3.0,5.0,3.0,19094.0,10735.0,4.0,11.0,3.0,4.0,80.0,1.0,26.0,2.0,14.0,13.0,4.0,8.0
Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Life Sciences,STAFF-33,33.0,Female,Research Scientist,Single,Yes,Y,5.0,-2.0,0.0,32.0,0.0,1125.0,16.0,High School,1.0,2.0,72.0,1.0,1.0,1.0,3919.0,4681.0,1.0,22.0,4.0,2.0,80.0,0.0,10.0,3.0,10.0,2.0,6.0,7.0
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-35,35.0,Male,Sales Executive,Married,No,Y,2.0,-2.0,0.0,42.0,1.0,691.0,8.0,Master's Degree,1.0,3.0,48.0,3.0,2.0,2.0,6825.0,21173.0,0.0,11.0,3.0,4.0,80.0,1.0,10.0,3.0,9.0,7.0,4.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-36,36.0,Female,Healthcare Representative,Married,No,Y,4.0,-2.0,0.0,44.0,1.0,477.0,7.0,Master's Degree,1.0,1.0,42.0,2.0,3.0,4.0,10248.0,2094.0,3.0,14.0,3.0,4.0,80.0,1.0,24.0,3.0,22.0,6.0,5.0,17.0
No,Travel_Rarely,45 - 54,Current Employees,Sales,Marketing,STAFF-38,38.0,Female,Manager,Single,No,Y,2.0,-2.0,0.0,46.0,1.0,705.0,2.0,Master's Degree,1.0,2.0,83.0,3.0,5.0,1.0,18947.0,22822.0,3.0,12.0,3.0,4.0,80.0,0.0,22.0,2.0,2.0,2.0,2.0,1.0
